webpageID,og:type,salestype,country,language,categorypath,tooltip,ui-tabs-panel
000548_,category,franchise,us,en,laptops, , 
000549_,product,franchise,us,en,enterprise-products, , 
000550_,product,franchise,us,en,enterprise-products, , 
000551_,product,franchise,us,en,enterprise-products, , 
000555_,category,franchise,uk,en,enterprise-products, , 
000556_,category,franchise,us,en,enterprise-products, , 
000557_,category,product_category,us,en,enterprise-products, , 
000558_,product,franchise,us,en,enterprise-products, , 
000562_,category,parent_product_category,us,en,all-products, , 
000564_,product,franchise,us,en,cloud-client-computing, , 
000565_,product,franchise,us,en,desktops, , 
000566_,product,franchise,us,en,desktops, , 
000569_,category,product_category,us,en,other-product, , 
000570_,document, , ,en,document_, , 
000573_,category,parent_product_category,uk,en,all-products, , 
000574_,category,franchise,us,en,enterprise-products, , 
000579_,product,franchise,us,en,enterprise-products, , 
000581_,document, , ,en,document_, , 
000585_,product,franchise,us,en,laptops, , 
000586_,category,parent_product_category,us,en,all-products, , 
000588_,product,franchise,us,en,desktops, , 
000589_,product,franchise,us,en,enterprise-products, , 
000596_,category,product_category,us,en,enterprise-products, , 
000599_,category,franchise,in,en,laptops, , 
000603_,category,product_category,uk,en,enterprise-products, , 
000606_,product,franchise,us,en,cloud-client-computing, , 
000609_,category,product_category,us,en,enterprise-products, , 
000610_,product,franchise,us,en,enterprise-products, , 
000611_,product,franchise,us,en,enterprise-products, , 
000614_,category,product_category,sg,en,laptops, , 
000621_,product,franchise,us,en,cloud-client-computing, , 
000622_, , , ,en,unkowntype_, , 
000623_,document, , ,en,document_, , 
000624_,category,product_category,in,en,enterprise-products, , 
000625_,category,config_category,us,en,deals, , 
000626_,product,franchise,us,en,laptops, , 
000631_,product,franchise,us,en,enterprise-products, , 
000632_,product,product_category,us,en,dell-tablets, , 
000636_,product,franchise,us,en,enterprise-products, , 
000637_,product,franchise,us,en,desktops, , 
000638_,category,product_category,in,en,enterprise-products, , 
000639_,product,franchise,us,en,laptops, , 
000640_,category,product_category,us,en,desktops, , 
000642_,product,franchise,us,en,desktops, , 
000648_,category,product_category,us,en,enterprise-products, , 
000649_,product,franchise,us,en,laptops, , 
000652_,category,product_category,us,en,enterprise-products, , 
000653_,category,product_category,uk,en,dell-tablets, , 
000655_,category,franchise,us,en,desktops, , 
000657_,category,product_category,us,en,enterprise-products, , 
000659_,product,franchise,us,en,laptops, , 
000665_,document, , ,en,document_, , 
000666_,product,franchise,us,en,desktops, , 
000667_,category,product_category,uk,en,enterprise-products, , 
000668_,category,parent_product_category,us,en,all-products, , 
000670_,product,franchise,us,en,desktops, , 
000675_,category,config_category,us,en,other-product, , 
000678_,category,franchise,us,en,enterprise-products, , 
000680_,category,product_category,us,en,desktops, , 
000681_,product,franchise,us,en,enterprise-products, , 
000682_,document, , ,en,document_, , 
000683_,category,parent_product_category,us,en,all-products, , 
000686_,category,franchise,us,en,enterprise-products, , 
000687_,product,franchise,us,en,cloud-client-computing, , 
000690_,product,franchise,us,en,desktops, , 
000692_,category,parent_product_category,us,en,all-products, , 
000697_,category,franchise,us,en,enterprise-products, , 
000699_,product,franchise,us,en,laptops, , 
000702_,product,franchise,us,en,desktops, , 
000704_,category,product_category,us,en,other-product, , 
000705_,category,product_category,in,en,other-product, , 
000709_,category,franchise,us,en,enterprise-products, , 
000715_,product,franchise,us,en,enterprise-products, , 
000716_,product,franchise,us,en,desktops, , 
000717_,product,franchise,us,en,enterprise-products, , 
000718_,category,franchise,us,en,enterprise-products, , 
000720_,product,franchise,us,en,enterprise-products, , 
000723_,category,parent_product_category,us,en,all-products, , 
000725_,product,franchise,us,en,enterprise-products, , 
000726_,product,franchise,us,en,desktops, , 
000727_,category,parent_product_category,us,en,all-products, , 
000728_,product,franchise,us,en,enterprise-products, , 
000731_,product,franchise,us,en,enterprise-products, , 
000732_,product,franchise,us,en,cloud-client-computing, , 
000733_,product,franchise,us,en,enterprise-products, , 
000740_,product,franchise,us,en,laptops, , 
000746_,product,franchise,us,en,enterprise-products, , 
000747_,product,franchise,us,en,laptops, , 
000748_,product,franchise,uk,en,enterprise-products, , 
000749_,product,franchise,us,en,laptops, , 
000756_,product,franchise,us,en,enterprise-products, , 
000758_,category,franchise,us,en,enterprise-products, , 
000759_,product,franchise,us,en,desktops, , 
000761_,product,franchise,us,en,enterprise-products, , 
000762_,document, , ,en,document_, , 
000765_,product,franchise,us,en,enterprise-products, , 
000767_,category,franchise,in,en,laptops, , 
000769_,product,franchise,us,en,desktops, , 
000772_,product,franchise,us,en,enterprise-products, , 
000773_,product,franchise,us,en,laptops, , 
000774_,product,franchise,us,en,laptops, , 
000775_,product,franchise,us,en,enterprise-products, , 
000782_,product,franchise,us,en,desktops, , 
000783_,product,franchise,us,en,laptops, , 
000784_,product,franchise,uk,en,desktops, , 
000787_,document, , ,en,document_, , 
000789_,category,franchise,us,en,enterprise-products, , 
000791_,product,franchise,us,en,desktops, , 
000792_,product,franchise,us,en,desktops, , 
000793_,product,franchise,us,en,desktops, , 
000795_,product,franchise,uk,en,desktops, , 
000799_,product,franchise,us,en,desktops, , 
000800_,category,franchise,au,en,desktops, , 
000801_,product,franchise,us,en,enterprise-products, , 
000802_,product,franchise,us,en,laptops, , 
000803_,product,parent_product_category,us,en,other-product, , 
000809_,product,franchise,sg,en,desktops, , 
000817_,product,franchise,us,en,enterprise-products, , 
000821_,category,product_category,us,en,software, , 
000824_,product,franchise,us,en,enterprise-products, , 
000826_,product,parent_product_category,us,en,other-product, , 
000829_,document, , ,en,document_, , 
000832_,category,config_category,uk,en,deals, , 
000834_,product,franchise,uk,en,desktops, , 
000836_,document, , ,en,document_, , 
000843_,product,franchise,us,en,desktops, , 
000844_,category,product_category,uk,en,enterprise-products, , 
000846_,category,product_category,us,en,desktops, , 
000851_,product,franchise,us,en,laptops, , 
000852_,product,franchise,us,en,cloud-client-computing, , 
000854_,product,franchise,us,en,enterprise-products, , 
000855_,product,franchise,uk,en,laptops, , 
000856_,product,franchise,us,en,desktops, , 
000859_,product,franchise,us,en,enterprise-products, , 
000861_,product,franchise,us,en,laptops, , 
000862_,category,product_category,us,en,enterprise-products, , 
000866_,product,franchise,us,en,server-storage-solutions, , 
000867_,category,parent_product_category,us,en,all-products, , 
000869_,product,franchise,us,en,cloud-client-computing, , 
000870_,product,franchise,us,en,server-storage-solutions, , 
000874_,category,parent_product_category,uk,en,all-products, , 
000876_,category,product_category,us,en,enterprise-products, , 
