webpageID,og:type,pagetype,salestype,country,language
042486_,product,product,franchise,us,en
042538_,document,,,,en
042769_,product,product,franchise,us,en
042797_,document,,,,en
042810_,document,,,,en
042891_,product,product,franchise,us,en
042894_,product,product,franchise,us,en
043047_,category,category,config_category,us,en
043100_,document,,,,en
043232_,document,,,,en
043592_,document,,,,en
043894_,product,product,franchise,us,en
043972_,category,category,product_category,us,en
044130_,document,,,,en
044195_,product,product,franchise,us,en
044390_,product,product,franchise,us,en
044414_,product,product,franchise,us,en
044477_,product,product,franchise,us,en
044643_,product,product,franchise,us,en
044679_,category,category,parent_product_category,us,en
